Country,ISO-3,Name in Original Language,Name in English Language,Acronym,Establishment Year,Official Mandate,Levels of Ownership,Size Category,Financial Year,Total Assets(Million USD),Total Equity(Million USD),Total Liabilities(Million USD),Website Link,Products Link
Brazil,BRA,Agência de Fomento e Desenvolvimento do Estado do Piauí S.A.,Agency for the Promotion and Development of the State of Piauí S.A.,Piauí Fomento,2010,MSME,SUBNATIONAL,Micro,2021,14,6,8,https://portal.pi.gov.br/fomento/,
Brazil,BRA,Desenvolve - Agência de Fomento de Alagoas,Develops - Alagoas Development Agency,Desenvolve,2004,MSME,SUBNATIONAL,Small,2021,17,11,5,https://www.desenvolve-al.com.br/,https://www.desenvolve-al.com.br/transparencia/demonstracoes-financeiras/
Brazil,BRA,Agência de Fomento do Rio Grande do Norte,Agência de Fomento do Rio Grande do Norte,AGN,1999,MSME,SUBNATIONAL,Micro,2021,,,,http://www.agn.rn.gov.br/,
Brazil,BRA,Agência de Empreendedorismo de Pernambuco S/A,Pernambuco Entrepreneurship Agency,AGE,2011,MSME,SUBNATIONAL,Micro,2021,16,10,6,http://www.age.pe.gov.br/,
Brazil,BRA,Agência de Fomento do Estado do Tocantins S/A,Agência de Fomento do Estado do Tocantins S/A,Fomento TO,2005,MSME,SUBNATIONAL,Micro,2021,6,4,2,http://www.fomento.to.gov.br/,https://www.fomento.to.gov.br/page/balancetes-demonstrativos-contabeis-e-financeiros
Brazil,BRA,Agência de Fomento do Amapá,Amapá Development Agency,AFAP,1997,MSME,SUBNATIONAL,Micro,2021,3,2,1,https://www.afap.ap.gov.br/,
Brazil,BRA,Desenvolve Roraima,Roraima Development Agency,DesenvolveRr,1999,MSME,SUBNATIONAL,Small,2021,,,,https://desenvolverr.com.br/,https://desenvolverr.com.br/transparencia/
Curaçao,CUW,Corporación para el Desarrollo de Curaçao,Sustainable Development Corporation of Curaçao,KORPODEKO,1985,MSME,SUBNATIONAL,Small,2021,,,,https://korpodeko.cw/,https://korpodeko.cw/kip/
Trinidad and Tobago,TTO,Agricultural Development Bank of Trinidad and Tobago,Agricultural Development Bank of Trinidad and Tobago,ADB,1968,AGRI,NATIONAL,NI,2021,,,,https://www.adbtt.com/,https://www.adbtt.com/product-loans-overview/
Saint Lucia,LCA,Saint Lucia Development Bank,Saint Lucia Development Bank,SLDB,2008,MSME,NATIONAL,Micro,2021,,,,https://www.sldb.lc/description-of-business/,https://www.sldb.lc/category/lending
El Salvador,SLV,Banco de Desarrollo de El Salvador,Development Bank of El Salvador,BANDESAL,1994,FLEX,NATIONAL,Small,2021,633,269,364,https://www.bandesal.gob.sv/,
El Salvador,SLV,Banco de Fomento Agropecuario,Agricultural Development Bank,BFA,1973,AGRI,NATIONAL,Small,2021,469,,,https://www.bfa.gob.sv/,https://www.bfa.gob.sv/guia-de-programas/ 
